text,negative
"Важно, чтобы к нам на исследование пришел тот человек, который подписывал соглашение о неразглашении. Если это будет не так, последствия для нас и для компании могут быть необратимы. Именно поэтому так важно сверять человека и его фотографию в документах. И делать это дотошно.В фотографировании на паспорт, как и на любой другой документ, есть несколько особенностей. Именно эти особенности иногда ставят нас в тупик, и мы спрашиваем себя: ""А это один и тот же человек? Точно?""",negative
"Скучненько переписало. Но всё же грамотно, поэтому тут только с панибратскоого в занудный можно было переделать, мне кажется.  Ну и однородные убрать, скобочки – это тоже понятно)",negative
вы слишком хороши.,positive
не могу покуситься на святое :),negative
"Это значит, что статью будет интересно читать людям того же профессионального уровня, которые её писали. — такое запутанное предложение, что я даже не могу сообразить, как распутать. Почему это определение экспертной статьи? Если копирайтер-новичок напишет статью про 10 инструментов для совместной работы, то ее тоже будет интересно читать людям того же профессионального уровня, «которые ее писали». Понимаю, что есть первая часть, но определение само по себе неверное.",negative
"Честно говоря, про биссектрису я бы вообще убрала. Потерявшись и запаниковав, никто про нее и не вспомнит.",negative
"Мнение важных для меня людей подходит любое, могу пофыркать, на остальных наплевать",negative
"долго думала, решила, что Тематический форум то тоже подойдет - там модеры ток так банят всех! Ну и они бывают закрытыми.",negative
У вас в статье рисунки неправильно сверстаны в пункте Давайте конкретизировать,negative
Не получилось воспроизвести аудиофайл,negative
"С велосипедистом не согласна. Он же именно объездил пол Европы, а не прилетел, покатался в центре города, улетел дальше. По идее ему важно ехать долго и чтобы велик не сломался.",negative
"я программист но тоже читаю статьи на яндекс маркете, что как выбрать, у меня MAC а если надо windows купить, то нужна информация о последних тенденциях",negative
"Клубнику если помыть то она ""раскиселивается"", поэтому придти домой и в холодильнике нормальную помытую клубнику нельзя, максимум водянистые ягоды уже",negative
"Вообще это не на текст, а на меню похоже. и рука не поднимается делать из меню текст :(",negative
"На вопрос ""Какой уровень обещают студенту, который пройдет курс?"" ответ дали в первом абзаце. Там написано до середины уровня B2.",negative
"явно сказано, что ПОЛОВИНА В2 (первый абзац)",negative
Про настолки мне кажется всё же текст обращается к читателю: если придёте к нам работать...,negative
"Про Нижний Новгород я бы вообще написала отдельно, а не в общей куче новостей.Жителям Нижнего -  о том, что Я.Лавка появилась в городе. Остальной аудитории - ""если вы поедете в Нижний Новгород - есть возможность пользоваться севисом.Инвесторам - что мы расширяемся)))",negative
Вот эти ваши задачи- просто пушка!,positive
Не работает(((,negative
"На мой взгляд, смысл примерно тот же.",negative
Тут что-то совсем плохо с подсчетом баллов :(,negative
хм... 0 баллов?!,negative
"На практике приходится ориентироваться на бизнес-задачу  (особенно внутреннему исполнителю). Она не обязательно обращена к внешнему клиенту и сильно завязана на налаженный в компании механизм продаж. По этому тексту видно, что заказчик внутри Яндекса, а не вне его, а предполагаемый участник опроса при любых обстоятельствах его пройдет. С таким ТЗ текст не так уж и плох, кнопка ""Пройти опрос"" нормально видна.",negative
"Я не согласна с ответами. Читателю полезна информация о том, когда состоится вебинар и какая будет тема. Вопрос в таком случае к формулировке. Чтобы говорить не о себе, можно сформулировать так: ""Приходите на вебинар 15 июля. Вы узнаете..."" И тогда вопрос - мы должны усвоить, что в целом плохо говорить о себе, как о компании? Или просто мы должны по-другому формулировать мысли? В любом случае, эта информация кажется полезной для пользователя. А вот ""Будет интересно"" больше похоже на восхваление себя. Нужно предоставить читателю информацию о вебинаре и дать ему самому решить, интересно будет или нет.",negative
